id,均分,提交次数,测试用例个数,答案代码行数
2080,61.76470588235294,68,1,39
2088,53.17307692307692,104,10,55
2087,47.34810185185185,216,11,62
2086,56.92910112359551,89,3,50
2085,43.319240506329116,158,9,71
2084,31.492537313432837,201,10,41
2091,44.2,100,10,40
2090,60.483870967741936,62,4,140
2089,62.41379310344828,58,5,119
2139,79.48717948717949,39,1,136
2104,53.668584905660374,106,9,64
2103,39.6875,80,4,143
2124,46.57534246575342,73,4,250
2309,58.971774193548384,124,8,96
2149,65.47607142857143,56,3,69
2115,43.113057851239674,121,6,83
2148,62.72727272727273,121,10,75
2125,74.41883720930232,43,3,360
2147,63.23987804878049,82,7,81
2146,78.94736842105263,57,2,119
2168,61.17424242424242,66,8,98
2167,88.23529411764706,34,1,227
2220,58.035714285714285,70,8,55
2152,86.9919512195122,41,3,96
2151,76.3157894736842,38,1,1
2150,44.473684210526315,114,10,116
2221,57.61296296296296,81,6,98
2254,56.470588235294116,255,10,78
2265,40.72164948453608,97,2,77
2232,46.029137931034484,174,11,104
2165,60.869565217391305,69,1,39
2264,34.87309644670051,197,10,71
2175,41.37931034482759,87,1,4
2337,43.31797235023041,217,10,96
2303,45.35398230088496,113,8,58
2213,59.25925925925926,54,1,54
2234,24.48658767772512,211,6,116
2233,51.68578651685394,178,6,84
2305,50.56037383177569,107,9,105
2316,39.59183673469388,147,10,76
2536,60.526315789473685,76,2,24
2348,54.95663265306123,98,7,123
2347,51.261969696969686,132,9,35
2444,67.143,70,3,29
2235,58.333255813953485,86,3,90
2343,91.66666666666667,36,1,1
2354,63.5178494623656,186,7,99
2331,58.62385321100918,109,10,149
2352,59.09142857142858,77,6,31
2704,74.54545454545455,55,2,35
2756,88.96551724137932,58,5,37
2349,91.11111111111111,45,1,155
2754,77.94117647058823,68,4,36
2541,71.76470588235294,85,2,34
2750,79.6875,64,2,22
2707,87.32394366197182,71,2,18
2705,73.02631578947368,76,2,40
2350,55.714285714285715,77,10,57
2174,65.51282051282051,78,10,145
2716,55.0,168,5,34
