id,均分,提交次数,测试用例个数,答案代码行数
2908,31.498973305954827,487,5,20
2081,62.34567901234568,81,4,31
2180,37.82747603833866,313,5,66
2190,56.850944444444444,180,6,110
2177,43.4640522875817,153,10,12
2892,48.79381578947368,152,6,26
2188,52.89855072463768,69,2,218
2199,51.52439024390244,164,10,101
2198,45.352112676056336,142,5,128
2164,74.52830188679245,53,2,17
2531,77.0,60,5,10
2894,59.1578947368421,95,5,17
2530,62.5974025974026,77,5,11
2200,58.28125,128,10,45
2936,52.949438202247194,178,4,74
2196,43.80281690140845,142,10,82
2178,53.32446808510638,188,4,40
2909,87.87878787878788,66,4,29
2176,51.93133047210301,233,1,69
2900,65.53846153846153,65,5,21
2955,55.96505263157895,95,6,29
2898,71.64164179104478,67,6,19
2985,81.9672131147541,61,4,6
2952,79.140625,64,4,120
2896,55.41984732824427,131,5,22
2740,87.75510204081633,49,5,20
2906,72.41379310344827,58,7,14
2904,77.01492537313433,67,5,17
2947,87.05357142857143,56,4,48
2958,73.11475409836065,61,5,49
2209,61.78217821782178,101,5,105
2934,47.28260869565217,92,4,28
2747,81.34615384615384,52,4,44
2944,55.86206896551724,87,5,21
2964,47.32142857142857,196,3,36
2941,52.03255474452554,137,7,28
2951,46.51162790697674,129,5,45
2940,51.27272727272727,110,5,40
2962,47.31707317073171,164,5,85
2950,47.81065088757396,169,5,54
2960,33.04195804195804,143,4,117
2939,43.61290322580645,155,5,41
2938,62.5,80,1,16
2949,31.5477380952381,168,6,26
2937,92.0,55,5,13
2959,59.93350993377483,151,6,99
2935,57.073170731707314,82,5,10
2912,78.84057971014492,69,5,1
2954,53.42741935483871,124,4,180
2975,75.40983606557377,61,5,11
2942,44.099378881987576,161,4,35
2963,44.81132075471698,106,4,186
2974,62.0,75,6,69
2984,68.92561983471074,121,5,40
2961,60.811081081081085,74,6,53
2972,41.083743842364534,203,5,38
2970,45.69247191011235,89,3,175
2981,58.40909090909091,88,5,67
2969,49.148165137614676,109,7,7
2979,81.42857142857143,56,5,16
2946,55.625,80,6,20
2957,68.65766233766233,77,5,59
2968,53.506493506493506,77,5,132
2978,56.91056910569106,246,5,46
2945,55.494505494505496,91,4,23
2956,57.778000000000006,105,6,84
2991,52.63157894736842,114,5,10
2980,68.22222222222223,90,5,36
2990,98.41269841269842,63,5,21
2988,88.85714285714286,70,5,7
2977,72.78481012658227,79,4,35
2966,82.0754716981132,53,2,296
2987,92.0,75,5,3
2976,67.6470588235294,102,4,79
2965,75.3623188405797,69,3,21
2986,80.28571428571429,70,5,104
2973,85.48387096774194,62,3,56
2983,76.13636363636364,88,5,43
2971,63.144329896907216,97,4,35
2948,59.583333333333336,96,5,28
2989,91.47058823529412,68,5,5
2967,91.28787878787878,66,4,77
2953,53.51981366459628,161,6,37
