id,均分,提交次数,测试用例个数,答案代码行数
2535,81.68316831683168,202,2,13
2534,71.97368421052632,152,5,9
2412,56.69831775700935,107,3,94
2444,58.636863636363636,220,3,29
2387,50.63291139240506,316,4,108
2441,87.58620689655173,58,5,5
2396,46.060545454545455,110,3,120
2440,80.33898305084746,118,5,14
2152,65.000125,80,3,96
2490,75.86776859504133,121,5,11
2390,47.73399014778325,203,10,138
2448,78.35616438356165,73,5,7
2443,82.1875,64,5,27
2397,63.92265193370166,181,10,100
2495,70.71428571428571,70,2,23
2491,89.42307692307692,52,2,8
2538,68.7431693989071,183,5,25
2526,53.4,200,5,12
2504,41.37931034482759,116,5,9
2456,77.94117647058823,68,5,12
2489,62.65060240963855,83,2,9
2522,64.0,85,5,13
2500,50.495049504950494,101,1,12
2488,57.755102040816325,98,5,15
2520,56.321494252873556,87,3,16
2399,40.19230769230769,130,4,109
2496,64.0,95,5,22
2536,62.77777777777778,90,2,24
2533,53.333333333333336,147,5,17
2542,80.65217391304348,92,5,13
2525,74.2428787878788,66,3,35
2523,60.0,70,2,17
2521,55.804943820224715,89,3,28
2532,68.67469879518072,83,2,20
2531,76.0,65,5,10
2530,66.08695652173913,69,5,11
2497,70.76923076923077,65,1,22
2519,72.65822784810126,79,5,9
2529,70.20202020202021,198,5,18
2528,83.91208333333333,144,6,5
2527,64.38356164383562,73,3,15
2422,69.01408450704226,71,1,76
2773,72.36842105263158,76,2,44
2539,82.1951219512195,82,5,24
