id,均分,提交次数,测试用例个数,答案代码行数
2179,91.80327868852459,61,1,148
2176,44.50261780104712,191,1,69
2307,71.72619047619048,84,4,17
2804,64.34773913043477,115,6,1
2456,98.06451612903226,62,5,12
2494,91.2621359223301,103,5,8
2373,70.43010752688173,93,4,15
2252,63.888888888888886,81,4,12
2395,56.09756097560975,82,4,20
2394,57.94117647058823,85,4,11
2371,73.01587301587301,63,4,15
2392,89.62264150943396,53,4,32
2701,65.78282828282828,198,4,55
2426,97.91666666666667,48,5,22
2425,74.63235294117646,68,4,19
2424,89.58333333333333,60,4,21
2203,55.208124999999995,96,3,243
2467,85.39823008849558,113,4,14
2346,52.33644859813084,107,3,39
2423,72.23880597014926,67,5,32
2466,82.33805970149253,67,6,23
2345,71.34684931506848,146,6,18
2389,62.666666666666664,75,4,11
2344,64.32432432432432,74,5,23
2388,95.40816326530613,49,4,12
2442,79.5945945945946,148,5,14
2209,46.388888888888886,144,5,105
2527,62.77766666666666,180,3,15
2342,44.761809523809525,105,3,13
2386,69.69026548672566,113,4,37
2341,78.05555555555556,72,4,14
2340,68.23979591836735,196,4,15
2283,74.28571428571429,63,5,12
2061,86.15384615384616,65,1,90
2280,79.03209677419355,62,3,13
2438,80.0,70,5,1
2339,73.74410958904109,146,6,15
2338,76.5625,64,4,35
2359,73.91304347826087,69,4,49
2358,68.18181818181819,66,4,13
2357,90.0,50,3,12
2356,58.51063829787234,94,5,15
2279,68.72340425531915,94,5,21
2498,85.26315789473684,57,5,11
2278,69.66666666666667,75,4,19
2211,75.30201342281879,149,5,70
2718,54.70651162790699,301,3,27
2193,56.94333333333333,96,3,115
2791,61.55555555555556,90,5,5
2790,72.9113924050633,79,10,6
2789,73.73493975903614,83,5,8
2800,92.5925925925926,54,10,10
2822,68.44036697247707,109,10,26
2821,88.28571428571429,70,5,14
2820,95.07692307692308,65,10,7
2809,85.75757575757575,66,10,3
2808,80.0,79,10,7
2829,74.16666666666667,84,10,6
2807,89.0,60,5,13
2806,60.54347826086956,92,10,8
2828,82.09677419354838,62,10,2
2827,70.1219512195122,82,10,2
2805,67.6470588235294,136,10,11
2826,62.42424242424242,99,10,10
2825,78.96103896103897,77,5,5
2847,94.82142857142857,56,10,4
2803,81.97183098591549,71,5,7
2846,80.82352941176471,85,10,2
2802,73.88235294117646,85,10,13
2812,74.06593406593407,91,5,3
2811,71.06382978723404,94,10,11
2833,88.21917808219177,73,5,4
2799,61.626506024096386,166,10,13
2810,57.592592592592595,108,10,17
2798,73.29032258064517,155,10,15
2795,74.74226804123711,194,10,16
2794,88.9090909090909,55,10,10
2818,73.125,80,10,6
2839,88.8135593220339,59,5,6
2817,72.3913043478261,92,5,9
2816,84.58333333333333,72,10,3
2814,48.19548872180451,133,10,9
2813,80.12121212121212,165,10,18
2793,76.86335526315789,152,6,13
2792,66.3768115942029,69,5,5
2801,91.32075471698113,53,10,8
2788,69.58762886597938,97,10,17
2787,71.32352941176471,68,10,3
2786,66.37362637362638,91,10,7
2797,91.83098591549296,71,10,13
2785,74.56647398843931,173,10,12
2796,77.70270270270271,74,10,6
2784,76.125,80,10,9
2783,82.19047619047619,105,10,18
2819,72.42290748898678,227,10,6
2815,80.96618357487922,207,10,16
2870,90.0,48,10,9
2867,79.24528301886792,53,5,10
2845,57.48031496062992,127,5,4
2823,47.07692307692308,130,10,13
2844,55.84507042253521,142,10,15
2866,59.89010989010989,91,10,15
2865,65.51282051282051,78,10,9
2843,68.28947368421052,76,10,8
2864,51.407407407407405,135,10,13
2842,61.64383561643836,73,5,14
2863,78.42857142857143,70,10,2
2840,74.28571428571429,63,5,6
2861,80.3225806451613,62,5,3
2849,82.66666666666667,60,5,6
2848,67.9245283018868,106,5,9
2868,74.53125,64,10,5
2824,71.73913043478261,69,10,13
2834,69.03225806451613,62,5,10
2877,76.89655172413794,58,5,9
2855,70.41883116883118,77,9,21
2854,70.81967213114754,122,10,13
2832,65.97402597402598,77,10,9
2875,69.0,60,5,5
2831,77.74193548387096,62,5,4
2853,82.26415094339623,53,10,6
2830,78.88888888888889,72,10,5
2852,62.875,80,10,12
2873,49.064748201438846,139,5,5
2851,84.44444444444444,54,5,2
2872,63.513513513513516,74,5,7
2850,57.06896551724138,116,10,9
2838,70.4054054054054,74,10,3
2859,64.74820143884892,139,10,11
2837,60.22222222222222,90,10,4
2836,73.03030303030303,99,10,15
2858,78.88888888888889,54,10,8
2835,64.0,115,10,9
2857,30.666666666666668,285,10,17
2891,98.54545454545455,55,5,3
2890,80.46612903225805,62,9,10
2889,93.66666666666667,60,5,2
2922,78.60759493670886,79,10,8
2888,84.81481481481481,54,5,14
2921,79.74358974358974,78,10,18
2887,86.0,60,5,9
2920,78.42105263157895,76,10,3
2886,96.36363636363636,55,5,10
2885,68.95348837209302,86,10,8
2841,93.20754716981132,53,5,35
2884,90.7936507936508,63,10,10
2862,96.9090909090909,55,10,12
2883,81.3157894736842,76,5,11
2882,72.18978102189782,137,10,11
2860,88.79310344827586,58,10,27
2929,93.79310344827586,58,10,12
2928,75.92233009708738,103,10,24
2927,90.98039215686275,51,5,6
2926,94.13,53,9,5
2925,79.70588235294117,68,10,16
2869,64.59770114942529,87,5,10
2924,85.86206896551724,58,10,19
2923,89.18367346938776,49,10,16
2881,91.19402985074628,67,10,8
2880,61.45454545454545,110,5,8
2878,86.53333333333333,75,10,2
2856,90.13333333333334,75,5,18
2911,91.78571428571429,56,5,23
2910,85.14285714285714,70,10,19
2876,83.96825396825396,63,10,8
2930,88.45587301587302,63,11,7
2874,76.41025641025641,78,10,12
2871,90.1470588235294,68,10,4
2918,73.7864077669903,103,10,7
2917,85.0,66,10,14
2916,84.32432432432432,74,5,13
2915,75.76923076923077,78,10,11
2914,78.53448275862068,116,10,21
2913,88.05555555555556,72,10,5
2879,80.47619047619048,63,10,11
2430,81.01694915254237,59,5,22
2692,84.15295081967213,61,3,29
2372,66.29213483146067,89,4,32
2293,96.25,48,5,8
2427,80.76923076923077,52,4,17
2602,88.92857142857143,56,5,14
2468,53.48837209302326,86,4,20
2523,90.19607843137256,51,2,17
2489,97.87234042553192,47,2,9
2522,74.85714285714286,70,5,13
2500,69.6969696969697,66,1,12
2741,86.0,60,5,8
2564,71.23287671232876,73,5,43
2542,97.72727272727273,44,5,13
2729,85.07936507936508,63,5,23
2528,75.66142857142857,63,6,5
2429,88.75,48,5,20
2428,65.15151515151516,66,4,18
2285,87.23404255319149,47,3,28
2284,82.71604938271605,81,5,22
2282,83.57142857142857,70,4,27
2436,78.57142857142857,70,2,14
2533,94.0,50,5,17
2433,64.82558139534883,172,2,71
2739,86.54982456140351,57,3,22
2738,75.80645161290323,62,5,57
2737,82.46153846153847,65,5,36
2539,85.35714285714286,56,5,24
2603,53.64341085271318,129,5,11
2368,28.066037735849058,212,4,21
2365,69.0625,80,4,31
2747,62.13636363636363,110,4,44
2385,65.9090909090909,77,4,18
2374,55.57324840764331,157,4,12
2470,44.63414634146341,82,5,31
2393,76.04166666666667,72,4,30
2469,65.97402597402598,77,5,64
2384,63.888888888888886,63,4,25
2903,83.33385714285716,70,3,30
2893,80.68181818181819,66,4,16
