id,均分,提交次数,测试用例个数,答案代码行数
2450,76.05095541401273,157,5,14
2463,71.46067415730337,89,5,18
2451,75.14285714285714,140,5,20
2462,76.0,125,5,17
2461,89.26829268292683,123,5,11
2537,69.86301369863014,73,5,9
2449,73.3764935064935,154,6,10
2514,78.49624060150376,133,5,16
2445,63.125,192,5,27
2741,82.36111111111111,144,5,8
2542,91.15384615384616,52,5,13
2454,75.65073170731708,82,5,9
2465,72.7710843373494,83,5,19
2453,86.78571428571429,56,5,29
2464,85.34351145038168,131,5,27
2506,74.67391304347827,184,5,29
2505,72.5,80,5,13
2397,55.036764705882355,272,10,100
2174,43.36,125,10,145
2115,34.661061946902656,113,6,83
2515,82.52709677419355,62,6,39
2536,68.83116883116882,77,2,24
2525,78.36245614035087,57,3,35
2601,88.47457627118644,59,5,28
2634,67.01986754966887,151,5,16
2513,76.4885496183206,131,5,19
2579,68.83116883116882,77,4,32
2578,70.57617283950617,81,3,27
2541,75.83333333333333,60,2,34
2517,87.54716981132076,53,5,45
2604,68.68175824175825,91,6,15
2516,81.75438596491227,57,5,30
2692,53.63965517241379,87,3,29
2702,38.541666666666664,144,2,14
2635,61.95652173913044,92,2,16
2645,77.4191935483871,62,3,20
2644,57.09524752475248,101,3,15
2643,73.01587301587301,63,5,39
2566,41.527833333333334,120,6,36
2576,54.90196078431372,102,6,43
2642,58.372093023255815,86,5,27
2565,51.30434782608695,115,5,25
2641,70.3921568627451,102,5,36
2630,42.45283018867924,159,2,23
2575,77.04901639344261,61,3,15
2773,35.66433566433567,143,2,44
2563,39.141363636363636,132,3,26
2606,74.23580786026201,229,2,10
2639,64.81283422459893,187,5,16
2637,52.67326732673267,101,5,14
2694,81.05263157894737,57,5,22
2570,70.8250704225352,71,7,24
2701,82.01754385964912,57,4,55
2745,78.22834645669292,127,4,44
2711,89.52380952380952,105,1,24
2567,64.30555555555556,72,2,22
2720,80.41666666666667,60,4,23
2729,70.37974683544304,79,5,23
2707,73.88059701492537,67,2,18
2718,78.86203252032522,123,3,27
2706,56.578947368421055,76,1,30
2717,73.94736842105263,152,5,1
2716,44.375,128,5,34
2705,63.888888888888886,72,2,40
2737,78.83211678832117,137,5,36
2726,75.47169811320755,53,1,69
2715,59.99957894736841,95,3,26
2703,56.25,120,2,20
2571,89.0307142857143,56,7,34
2746,85.0,70,2,27
2897,87.17953846153846,65,3,10
2577,79.75308641975309,81,5,28
2753,81.34328358208955,67,2,27
2752,83.60672131147541,61,3,57
2740,83.09859154929578,71,5,20
2751,67.91208791208791,91,5,25
2640,86.06060606060606,66,5,39
2709,85.71428571428571,56,2,33
2739,78.96821428571428,84,3,22
2738,76.05633802816901,71,5,57
2748,65.4142857142857,133,3,55
2769,83.33333333333333,60,2,51
