id,均分,提交次数,测试用例个数,答案代码行数
2172,47.86206896551724,145,5,92
2474,65.66666666666667,75,4,22
2173,85.6140350877193,57,5,6
2171,62.962916666666665,72,3,17
2647,57.10368852459016,122,3,6
2548,55.90163934426229,122,5,38
2547,64.25,80,5,17
2589,81.45161290322581,62,4,17
2169,61.666666666666664,75,4,26
2145,83.92857142857143,56,1,78
2607,58.1578947368421,95,4,12
2629,48.28431372549019,102,4,9
2561,78.68852459016394,61,4,41
2186,79.6875,64,4,4
2142,37.692,130,3,19
2185,62.640449438202246,89,4,12
2482,65.14285714285714,105,5,38
2141,60.12658227848101,79,2,12
2184,85.59322033898304,59,4,4
2140,53.410404624277454,173,5,21
2183,80.0,60,4,4
2182,71.34328358208955,67,5,14
2181,75.0,68,4,7
2614,78.47222222222223,72,4,16
2558,52.75590551181102,127,5,18
2610,56.36363636363637,99,5,13
2212,90.9090909090909,55,2,10
2618,74.6376811594203,69,2,21
2617,79.3652380952381,63,3,21
2615,80.0,61,5,28
2592,61.94444444444444,90,4,12
2671,87.5,48,4,11
2197,83.92857142857143,56,4,13
2195,76.22950819672131,61,2,27
2194,52.083333333333336,84,4,22
2192,68.25396825396825,63,4,19
2207,75.86224137931035,58,3,7
2669,74.58333333333333,60,4,8
2206,76.11083333333333,60,3,18
2668,94.88636363636364,44,4,6
2205,70.43016129032259,62,2,15
2667,78.26086956521739,69,4,5
2204,59.21052631578947,76,4,12
2665,93.02325581395348,43,4,21
2202,60.526315789473685,76,4,13
2543,76.38888888888889,54,4,30
2201,96.44444444444444,45,5,22
2662,97.61904761904762,42,4,5
2189,73.75,60,4,37
2562,41.95652173913044,115,4,46
2661,88.82978723404256,47,4,4
2187,75.66142857142857,63,3,14
2658,82.58928571428571,56,4,11
2656,82.03389830508475,59,5,9
2655,84.31372549019608,51,4,8
2653,91.11111111111111,45,4,13
2651,97.1590909090909,44,4,9
2673,94.88636363636364,44,4,44
2659,95.34883720930233,43,4,3
2290,49.473684210526315,95,4,21
2210,48.87956730769231,208,3,80
2231,58.958333333333336,120,4,25
2472,63.37078651685393,89,5,21
2593,28.958333333333332,192,5,32
2546,70.0,65,4,24
2689,83.48214285714286,56,4,22
2688,60.810540540540536,74,3,56
2687,58.223684210526315,76,4,20
2686,43.84,125,5,24
2685,69.61538461538461,65,4,13
2684,57.37179487179487,78,4,20
2208,36.26114864864864,148,3,37
2441,84.90566037735849,53,5,5
2287,63.30434782608695,115,5,22
2683,43.793103448275865,116,5,9
2440,76.0,70,5,14
2682,51.15384615384615,130,4,18
2681,79.82456140350877,57,4,3
2680,73.79032258064517,62,4,7
2481,83.63636363636364,55,5,24
2480,57.333333333333336,75,4,17
2281,60.96577464788732,71,7,16
2679,70.07042253521126,71,4,8
2479,29.852941176470587,170,4,16
2677,82.6923076923077,52,4,17
2478,69.84615384615384,65,5,5
2676,54.73488636363636,88,6,12
2675,89.58333333333333,48,4,13
2477,58.333333333333336,105,4,27
2666,72.1875,80,4,4
2663,91.93548387096774,62,4,8
2672,90.0,62,5,2
2473,61.86666666666667,75,5,76
2691,58.108108108108105,74,4,51
2471,59.183673469387756,98,5,65
2690,48.04964539007092,141,4,18
2590,48.34710743801653,121,4,17
2724,93.47826086956522,46,3,25
2723,75.78125,64,4,12
2646,74.56140350877193,57,4,8
2722,63.225806451612904,93,5,17
2721,61.05263157894737,76,5,3
2487,55.09708737864078,103,4,22
2761,78.01724137931035,58,4,5
2486,55.69620253164557,79,5,26
2728,58.717948717948715,78,5,10
2727,52.06185567010309,97,4,10
2649,57.05882352941177,85,4,5
2725,59.550561797752806,89,5,6
2760,72.95081967213115,61,4,12
2485,62.0253164556962,79,4,19
2484,56.89655172413793,116,4,6
2560,70.41095890410959,73,5,24
2483,74.19354838709677,62,5,14
2559,74.19354838709677,62,5,11
2557,51.8421052631579,95,4,14
2755,43.686868686868685,99,4,17
2732,61.82432432432432,74,4,15
2336,39.077669902912625,103,4,15
2731,74.48275862068965,58,5,18
2730,69.56521739130434,69,5,12
2759,71.7741935483871,62,4,11
2573,65.76923076923077,104,5,17
2771,87.71186440677967,59,4,7
2594,91.09189655172413,58,6,23
2770,57.94871794871795,78,1,17
2670,84.02777777777777,72,4,6
2591,70.88607594936708,79,5,14
2768,72.53731343283582,67,5,9
2767,66.25,80,5,28
2766,73.828125,64,4,9
2545,74.65277777777777,72,4,21
2765,86.16071428571429,56,4,6
2544,63.848469387755095,98,7,40
2764,78.01724137931035,58,4,26
2763,84.12698412698413,63,4,17
2762,89.01960784313725,51,5,32
2609,80.35714285714286,70,4,36
2905,91.1864406779661,59,5,8
2780,85.71438596491228,57,7,19
2779,87.3015873015873,63,4,16
2778,78.17460317460318,63,4,55
2678,90.98360655737704,61,4,21
2777,68.10810810810811,74,5,10
2775,78.61111111111111,72,5,14
2774,80.96774193548387,62,5,12
2476,72.13546875,64,6,14
2674,82.53968253968254,63,4,14
2574,80.76923076923077,78,5,17
2772,87.11864406779661,59,5,3
2475,87.63636363636364,55,5,22
